question,answer,source,last_updated
هل يمكن الدراسة عبر المحاضرات المسجلة فقط؟,"لا، الحضور ضروري لاستيفاء متطلبات المادة.",https://www.arabou.edu.sa/students/guide/Pages/default.aspx,26/8/2025
كيف تستخدم منصة LMS؟,عبر تسجيل الدخول باستخدام حساب الطالب والوصول إلى المحتوى والمحاضرات.,https://www.arabou.edu.sa/students/Documents/LMS%20Student%20Manual.pdf,26/8/2025
كيف تحصل على البطاقة الجامعية؟,من قسم القبول والتسجيل بعد استكمال القبول.,https://www.arabou.edu.sa/media/Documents/Student%20Guide%20for%20Examsa.pdf,26/8/2025
كيف تؤجل الامتحان؟,بتقديم طلب رسمي مع إرفاق سبب مقبول قبل موعد الامتحان.,https://www.arabou.edu.sa/media/Documents/Student%20Guide%20for%20Examsa.pdf,26/8/2025
ما توزيع الدرجات؟,"TMA 30%، MTA 30%، Final 40% تقريباً (يختلف حسب المادة).",https://www.arabou.edu.sa/students/guide/Pages/default.aspx,26/8/2025
هل يمكن إعادة مادة نجحت فيها؟,"نعم، لإعادة تحسين المعدل التراكمي.",https://www.arabou.edu.sa/students/guide/Pages/course-repeat.aspx,26/8/2025
ما هو الإنذار الأكاديمي؟,يطبق إذا انخفض المعدل التراكمي عن 2.0.,https://www.arabou.edu.sa/students/guide/Pages/penalties.aspx,26/8/2025
كم مرة يمكن الرسوب في مادة؟,"يمكن إعادة المادة حتى 3 مرات، وبعدها تُدرس الحالة أكاديميًا.",https://www.arabou.edu.sa/students/guide/Pages/course-repeat.aspx,26/8/2025
ما هي التخصصات المتاحة؟,"إدارة الأعمال، المحاسبة، التسويق، تقنية المعلومات، علوم الحاسوب، اللغة الإنجليزية.",https://www.arabou.edu.sa/admission/Documents/AAU%20Guide%20-%20English%20%28Ver.%202%29.pdf,26/8/2025
ما عدد الساعات للتخرج؟,حوالي 128–132 ساعة معتمدة حسب البرنامج.,https://www.arabou.edu.sa/ar/admission/pages/undergraduate-requirements.aspx,26/8/2025
ما لغة التدريس؟,معظم المواد بالإنجليزية وبعضها بالعربية.,https://www.arabou.edu.sa/faculties/business/Documents/Student%20Handbook%20-%202017.pdf,26/8/2025
هل شهادات الجامعة معتمدة؟,"نعم، معتمدة من NCAAA في السعودية.",https://www.arabou.edu.sa/ar/faculties/business/Pages/quality.aspx,26/8/2025
كيف تستخرج وثيقة التخرج؟,بتقديم طلب عبر القبول والتسجيل بعد استيفاء المتطلبات.,https://www.arabou.edu.sa/students/guide/Pages/default.aspx,26/8/2025
هل يوجد دعم للغة الإنجليزية؟,"نعم، تقدم الجامعة مواد تأسيسية للطلاب ذوي المستوى الضعيف.",https://www.arabou.edu.sa/admission/Documents/student%20guide.pdf,26/8/2025
كيف تطلب شهادة قيد؟,عن طريق SIS أو قسم القبول والتسجيل برسوم بسيطة.,https://www.arabou.edu.sa/students/Pages/faq.aspx,26/8/2025
ما هو نظام معلومات الطالب (SIS) وكيف أسجّل الدخول؟,"هو بوابة الطالب للخدمات (التسجيل، الرسوم، الجداول). تسجّل الدخول عبر صفحة بوابة الطالب بإدخال رقمك الجامعي وكلمة المرور الافتراضية (المذكورة في الصفحة).",https://sis.arabou.edu.sa/spksa/,9/8/2025
كيف أغيّر أو أسترجع كلمة مرور SIS؟,تتوافر إرشادات تغيير/إعادة ضبط كلمة المرور ضمن صفحة SIS (روابط دليل PDF وفيديو توضيحي).,https://www.arabou.edu.sa/students/pages/sis.aspx,9/8/2025
كيف أدفع رسوم التسجيل عبر SIS؟,يوجد شرح “How to pay for Registration fee” ضمن صفحة SIS مع مواد مساعدة.,https://www.arabou.edu.sa/students/pages/sis.aspx,9/8/2025
أين أجد دليل خدمات SIS التفصيلي؟,يتوفر دليل “SIS online services manual” يشرح خطوات التسجيل والخدمات الإلكترونية للطلبة.,https://www.arabou.edu.sa/students/Documents/SIS-online%20servicesV2.pdf,9/8/2025
كيف أصل إلى بريدي الجامعي وتعليماته؟,صفحة البريد توفر دليل PDF وفيديو لكيفية الدخول إلى البريد الجامعي.,https://www.arabou.edu.sa/students/pages/student-email.aspx,9/8/2025
كيف أسجّل الدخول إلى نظام التعلّم الإلكتروني LMS؟,الدليل يشرح الدخول إلى منصة LMS عبر الرابط المخصص وخطوات الاستخدام.,https://www.arabou.edu.sa/students/Documents/LMS%20Manual%20Student.pdf,9/8/2025
كيف أحضر المحاضرات الافتراضية عبر Microsoft Teams؟,يوجد دليل طالب يوضح حضور الفصول الافتراضية باستخدام MS Teams خطوة بخطوة.,https://www.arabou.edu.sa/students/Documents/Attending%20Virtual%20Classes%20Using%20MS%20Teams%20Student%20Manual.pdf,9/8/2025
هل الحضور في اللقاءات التعليمية إلزامي وما الحد الأدنى؟,تنص الصفحة على ساعات الحد الأدنى للاجتماعات التعليمية المباشرة واعتبارات الحضور والافتراضي.,https://www.arabou.edu.sa/students/guide/Pages/educational-meetings-attendance.aspx,9/8/2025
متى يُحرم الطالب من دخول الاختبار بسبب الغياب؟,تحرم اللوائح الطالب من دخول الاختبار النهائي إذا تجاوزت نسبة غيابه 25٪ من اللقاءات التعليمية.,https://www.arabou.edu.sa/about/Documents/Regulations/Students%20Bylaws/%D9%84%D8%A7%D8%A6%D8%AD%D8%A9%20%D9%85%D8%AA%D8%B7%D9%84%D8%A8%D8%A7%D8%AA%20%D8%A7%D9%84%D8%AD%D8%B5%D9%88%D9%84%20%D8%B9%D9%84%D9%89%20%D8%AF%D8%B1%D8%AC%D8%A9%20%D8%A7%D9%84%D8%A8%D9%83%D8%A7%D9%84%D9%88%D8%B1%D9%8A%D9%88%D8%B3.pdf,9/8/2025
ما هو نظام الإنذار الأكاديمي والفصل؟,"تنص صفحة الإنذار الأكاديمي على توجيه إنذار إذا انخفض المعدل التراكمي عن 2.0، مع حالات الفصل الأكاديمي.",https://www.arabou.edu.sa/students/guide/Pages/penalties.aspx,9/8/2025
كيف أقدّم اعتراضًا على نتيجة مقرر؟,تسمح الجامعة بتقديم اعتراض على أي جزء من التقييم ضمن المدد المحددة بالجامعة.,https://www.arabou.edu.sa/students/guide/Pages/result-objection.aspx,9/8/2025
ما الفرق بين الشكوى والاعتراض وما آلية التقديم؟,توضح صفحة Appeals & Complaints طبيعة الشكاوى/الاعتراضات وخطوات التقديم إلكترونيًا.,https://www.arabou.edu.sa/students/examinations/Pages/faq-appeals.aspx,9/8/2025
كيف أطلب تأجيل اختبار نهائي؟,يتم طلب تأجيل الامتحان من خلال حساب الطالب في SIS عبر خيار Postpone Exam واتباع التعليمات.,https://www.arabou.edu.sa/students/examinations/Pages/postpone.aspx,9/8/2025
ما التعليمات العامة للامتحانات الحضورية؟,يتوفر دليل للامتحانات الحضورية يوضح الإرشادات والإجراءات للطلبة.,https://www.arabou.edu.sa/students/examinations/Documents/on-campus.pdf,9/8/2025
كيف أنسحب كليًا من الجامعة؟,صفحة الانسحاب الكلي توضح الشروط والإجراءات والخدمات ذات الصلة.,https://www.arabou.edu.sa/students/guide/Pages/complete-withdrawal.aspx,9/8/2025
ما النماذج (Forms) التي أحتاجها للخدمات الطلابية؟,"توفر صفحة النماذج روابط إلى نماذج شائعة مثل شؤون الطلبة، SIS، الشكاوى، الرسوم.",https://www.arabou.edu.sa/students/Pages/forms.aspx,9/8/2025
أين أجد التقويم الأكاديمي لمواعيد التسجيل والاختبارات؟,يتوفر التقويم الأكاديمي على موقع الجامعة ضمن قسم الطلبة.,https://www.arabou.edu.sa/students/Pages/academic-calendar.aspx,9/8/2025
هل أستطيع إعادة دراسة مقرر لتحسين المعدل؟,"توضح صفحة تكرار المقرر شروط إعادة الدراسة، ومنها السماح بإعادة بعض المقررات لرفع المعدل.",https://www.arabou.edu.sa/students/guide/Pages/course-repeat.aspx,9/8/2025
ما قواعد سلوك الطالب؟,يوضح دليل سلوك الطالب المبادئ العامة للسلوك الأخلاقي والبيئي بالجامعة.,https://www.arabou.edu.sa/students/guide/Documents/Student%20Guide%20e.pdf,9/8/2025
ما شروط القبول الأساسية في الجامعة؟,يشترط الحصول على شهادة الثانوية العامة أو ما يعادلها صادرة من وزارة التعليم السعودية.,https://www.arabou.edu.sa/ar/students/guide/Documents/%D8%AF%D9%84%D9%8A%D9%84%20%D8%A7%D9%84%D8%B7%D9%84%D8%A7%D8%A8%202024.pdf,9/8/2025
ما المستندات المطلوبة للتقديم؟,"تتضمن إثبات الهوية/الإقامة وصور شخصية ووثيقة الثانوية، وفق ما يرد في صفحات القبول.",https://www.arabou.edu.sa/ar/admission/pages/undergraduate-requirements.aspx,9/8/2025
هل يوجد دليل قبول/إرشاد للطالب؟,يتوفر دليل قبول/إرشاد (Student Guide) يشرح الإرشاد الأكاديمي وإجراءات رئيسية.,https://www.arabou.edu.sa/admission/Documents/AAU%20Guide%20-%20Arabic%20%28Ver.%202%29.pdf,9/8/2025
هل تتوفر سياسة تقسيط واسترداد للرسوم؟,يوضح الدليل الإجرائي سياسة التقسيط والاسترداد وإجراءات الجداول الدراسية.,https://www.arabou.edu.sa/ar/admission/Documents/%D8%A7%D9%84%D8%AF%D9%84%D9%8A%D9%84%20%D8%A7%D9%84%D8%A5%D8%AC%D8%B1%D8%A7%D8%A6%D9%8A%20%D9%88%D8%A7%D9%84%D9%85%D9%87%D8%A7%D9%85%20%D8%A7%D9%84%D9%85%D9%82%D8%AF%D9%85%D8%A9%20%D9%84%D9%84%D8%B7%D9%84%D8%A8%D8%A9_.pdf,9/8/2025
أين أجد إجابات عامة متكررة (FAQs)؟,صفحة الأسئلة المتكررة تتضمن مواضيع مثل البريد الجامعي وSIS وطرق الدفع وغيرها.,https://www.arabou.edu.sa/students/Pages/faq.aspx,9/8/2025
كيف أستفيد من الإرشاد الأكاديمي؟,يوضح الدليل الإرشادي دور الإرشاد وخدماته وكيفية الاستفادة منه خلال الدراسة.,https://www.arabou.edu.sa/admission/Documents/AAU%20Guide%20-%20Arabic%20%28Ver.%202%29.pdf,9/8/2025
ما الخدمات الإلكترونية الإضافية المتاحة للطالب؟,توجد صفحة للخدمات الإلكترونية تتضمن روابط لأدلة البريد وLMS وSIS ودروس مساندة.,https://www.arabou.edu.sa/units/academic-advising/Pages/e-services.aspx,9/8/2025
أين أجد النسخة الإلكترونية من دليل الطالب؟,قسم دليل الطالب يوفر ملفات PDF وإصدارات محدثة للاطلاع.,https://www.arabou.edu.sa/students/guide/Pages/default.aspx,9/8/2025
هل توجد قناة لتقديم الشكاوى الطلابية؟,"نعم، صفحة Student Complaint (FAQ) تشرح ملء النموذج الإلكتروني وتفاصيل البلاغ.",https://www.arabou.edu.sa/students/Pages/student-complaint-faq.aspx,9/8/2025
هل توجد مستندات خاصة ببرامج/كليات معيّنة؟,تتوفر كتيبات/أدلة لبعض الكليات والبرامج (مثال: حاسوب/أعمال) تتضمن متطلبات وحضور.,https://www.arabou.edu.sa/faculties/computer/Documents/ITC%20Student%20Handbook.pdf,9/8/2025
ما الجهة المسؤولة عن الجودة والاعتماد؟,يوضح دليل الجودة المؤسسية معايير وإرشادات الجودة في الجامعة وقياس الحضور.,https://www.arabou.edu.sa/students/examinations/Documents/The%20Quality%20Guide%20at%20the%20Arab%20Open%20University.pdf,9/8/2025
هل يوجد فرق بين الدراسة الحضورية والافتراضية؟,توضح صفحة اللقاءات التعليمية توزيع اللقاءات الحضورية والافتراضية ضمن خطة المقرر.,https://www.arabou.edu.sa/students/guide/Pages/educational-meetings-attendance.aspx,9/8/2025
هل توجد لائحة بكالوريوس رسمية باللغة الإنجليزية؟,"نعم، تتوفر لوائح ومتطلبات منح درجة البكالوريوس بنسخة إنجليزية.",https://www.arabou.edu.sa/about/Documents/Undergraduate-Bylaws.pdf,9/8/2025
ما عدد الساعات المعتمدة لمقرر TM105 Introduction to Programming؟,4 ساعات معتمدة,,9/8/2025
ما عدد الساعات المعتمدة لمقرر TM103 Computer Architecture and Organization؟,4 ساعات معتمدة,,9/8/2025
ما عدد الساعات المعتمدة لمقرر MT131 Discrete Mathematics؟,4 ساعات معتمدة,,9/8/2025
ما عدد الساعات المعتمدة لمقرر MT132 Linear Algebra؟,4 ساعات معتمدة,,9/8/2025
ما عدد الساعات المعتمدة لمقرر M110 Python Programming؟,8 ساعات معتمدة,,9/8/2025
ما عدد الساعات المعتمدة لمقرر TM112 Introduction to Computing and IT؟,8 ساعات معتمدة,,9/8/2025
"ما عدد الساعات المعتمدة لمقرر M269 Algorithms, Data Structures and Computability؟",8 ساعات معتمدة,,9/8/2025
ما عدد الساعات المعتمدة لمقرر M251 Object-Oriented Programming using Java؟,8 ساعات معتمدة,,9/8/2025
ما عدد الساعات المعتمدة لمقرر TM255 Communication and Information Technologies؟,8 ساعات معتمدة,,9/8/2025
ما عدد الساعات المعتمدة لمقرر T215B Communication and Information Technologies – Part B؟,8 ساعات معتمدة,,9/8/2025
ما عدد الساعات المعتمدة لمقرر TM351 Data Management and Analysis؟,8 ساعات معتمدة,,9/8/2025
ما عدد الساعات المعتمدة لمقرر TM354 Software Engineering؟,8 ساعات معتمدة,,9/8/2025
ما عدد الساعات المعتمدة لمقرر TM355 Communications Technology؟,8 ساعات معتمدة,,9/8/2025
ما عدد الساعات المعتمدة لمقرر TM471 Graduation Project؟,8 ساعات معتمدة,,9/8/2025
